observed_at,collected_at,channel,keyword_raw,entity,metric_type,metric_value,metadata,run_id
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,ASKIN LOGO LONG SLEEVE (GREY),29cm:1969327,review_count,125.0,"{""brand_eng"": ""GOYOWEAR"", ""brand_kor"": ""고요웨어"", ""brand_no"": 16187, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 티셔츠"", ""category3_code"": 272103102, ""is_new"": true, ""item_no"": 1969327, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 15, ""sale_price"": 41650, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1969327""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,ASKIN LOGO LONG SLEEVE (GREY),29cm:1969327@272103100,rank,40.0,"{""brand_eng"": ""GOYOWEAR"", ""brand_kor"": ""고요웨어"", ""brand_no"": 16187, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 티셔츠"", ""category3_code"": 272103102, ""is_new"": true, ""item_no"": 1969327, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 15, ""sale_price"": 41650, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1969327""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,ASKIN LOGO LONG SLEEVE (BLACK),29cm:1969351,heart_count,696.0,"{""brand_eng"": ""GOYOWEAR"", ""brand_kor"": ""고요웨어"", ""brand_no"": 16187, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 티셔츠"", ""category3_code"": 272103102, ""is_new"": true, ""item_no"": 1969351, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 15, ""sale_price"": 41650, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1969351""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,ASKIN LOGO LONG SLEEVE (BLACK),29cm:1969351,review_count,113.0,"{""brand_eng"": ""GOYOWEAR"", ""brand_kor"": ""고요웨어"", ""brand_no"": 16187, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 티셔츠"", ""category3_code"": 272103102, ""is_new"": true, ""item_no"": 1969351, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 15, ""sale_price"": 41650, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1969351""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,ASKIN LOGO LONG SLEEVE (BLACK),29cm:1969351@272103100,rank,6.0,"{""brand_eng"": ""GOYOWEAR"", ""brand_kor"": ""고요웨어"", ""brand_no"": 16187, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 티셔츠"", ""category3_code"": 272103102, ""is_new"": true, ""item_no"": 1969351, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 15, ""sale_price"": 41650, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1969351""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,[29Exclusive] POCKET T-SHIRTS 티셔츠 6 컬러,29cm:1988269,heart_count,1919.0,"{""brand_eng"": ""BROWNYARD"", ""brand_kor"": ""브라운야드"", ""brand_no"": 2211, ""category1"": ""남성의류"", ""category2"": ""단독"", ""category3"": ""상의"", ""category3_code"": 272111101, ""is_new"": false, ""item_no"": 1988269, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 4.5, ""sale_percent"": 51, ""sale_price"": 18620, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1988269""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,[29Exclusive] POCKET T-SHIRTS 티셔츠 6 컬러,29cm:1988269,review_count,169.0,"{""brand_eng"": ""BROWNYARD"", ""brand_kor"": ""브라운야드"", ""brand_no"": 2211, ""category1"": ""남성의류"", ""category2"": ""단독"", ""category3"": ""상의"", ""category3_code"": 272111101, ""is_new"": false, ""item_no"": 1988269, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 4.5, ""sale_percent"": 51, ""sale_price"": 18620, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1988269""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,[29Exclusive] POCKET T-SHIRTS 티셔츠 6 컬러,29cm:1988269@272103100,rank,70.0,"{""brand_eng"": ""BROWNYARD"", ""brand_kor"": ""브라운야드"", ""brand_no"": 2211, ""category1"": ""남성의류"", ""category2"": ""단독"", ""category3"": ""상의"", ""category3_code"": 272111101, ""is_new"": false, ""item_no"": 1988269, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 4.5, ""sale_percent"": 51, ""sale_price"": 18620, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1988269""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:15+00:00,commerce_rank,캡 내장 심리스 쿨링 크롭 레이어드 이너 나시 수면브라 끈나시,29cm:2123023,heart_count,61309.0,"{""brand_eng"": ""KOZNOK"", ""brand_kor"": ""코즈넉"", ""brand_no"": 3389, ""category1"": ""여성의류"", ""category2"": ""언더웨어"", ""category3"": ""브라탑/캐미솔"", ""category3_code"": 268109107, ""is_new"": false, ""item_no"": 2123023, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""268103100"", ""ranking_category_name"": ""여성의류>상의"", ""review_avg"": 4.5, ""sale_percent"": 37, ""sale_price"": 6230, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/2123023""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:15+00:00,commerce_rank,캡 내장 심리스 쿨링 크롭 레이어드 이너 나시 수면브라 끈나시,29cm:2123023,review_count,5479.0,"{""brand_eng"": ""KOZNOK"", ""brand_kor"": ""코즈넉"", ""brand_no"": 3389, ""category1"": ""여성의류"", ""category2"": ""언더웨어"", ""category3"": ""브라탑/캐미솔"", ""category3_code"": 268109107, ""is_new"": false, ""item_no"": 2123023, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""268103100"", ""ranking_category_name"": ""여성의류>상의"", ""review_avg"": 4.5, ""sale_percent"": 37, ""sale_price"": 6230, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/2123023""}",2026-09-06T08:07:14+00:00_6caed517
